city_id,city,country_id,last_update
1,A Corua (La Corua),87,2022-02-15 09:45:25+00
2,Abha,82,2022-02-15 09:45:25+00
3,Abu Dhabi,101,2022-02-15 09:45:25+00
4,Acua,60,2022-02-15 09:45:25+00
5,Adana,97,2022-02-15 09:45:25+00
6,Addis Abeba,31,2022-02-15 09:45:25+00
7,Aden,107,2022-02-15 09:45:25+00
8,Adoni,44,2022-02-15 09:45:25+00
9,Ahmadnagar,44,2022-02-15 09:45:25+00
10,Akishima,50,2022-02-15 09:45:25+00
11,Akron,103,2022-02-15 09:45:25+00
12,al-Ayn,101,2022-02-15 09:45:25+00
13,al-Hawiya,82,2022-02-15 09:45:25+00
14,al-Manama,11,2022-02-15 09:45:25+00
15,al-Qadarif,89,2022-02-15 09:45:25+00
16,al-Qatif,82,2022-02-15 09:45:25+00
17,Alessandria,49,2022-02-15 09:45:25+00
18,Allappuzha (Alleppey),44,2022-02-15 09:45:25+00
19,Allende,60,2022-02-15 09:45:25+00
20,Almirante Brown,6,2022-02-15 09:45:25+00
21,Alvorada,15,2022-02-15 09:45:25+00
22,Ambattur,44,2022-02-15 09:45:25+00
23,Amersfoort,67,2022-02-15 09:45:25+00
24,Amroha,44,2022-02-15 09:45:25+00
25,Angra dos Reis,15,2022-02-15 09:45:25+00
26,Anpolis,15,2022-02-15 09:45:25+00
27,Antofagasta,22,2022-02-15 09:45:25+00
28,Aparecida de Goinia,15,2022-02-15 09:45:25+00
29,Apeldoorn,67,2022-02-15 09:45:25+00
30,Araatuba,15,2022-02-15 09:45:25+00
31,Arak,46,2022-02-15 09:45:25+00
32,Arecibo,77,2022-02-15 09:45:25+00
33,Arlington,103,2022-02-15 09:45:25+00
34,Ashdod,48,2022-02-15 09:45:25+00
35,Ashgabat,98,2022-02-15 09:45:25+00
36,Ashqelon,48,2022-02-15 09:45:25+00
37,Asuncin,73,2022-02-15 09:45:25+00
38,Athenai,39,2022-02-15 09:45:25+00
39,Atinsk,80,2022-02-15 09:45:25+00
40,Atlixco,60,2022-02-15 09:45:25+00
41,Augusta-Richmond County,103,2022-02-15 09:45:25+00
42,Aurora,103,2022-02-15 09:45:25+00
43,Avellaneda,6,2022-02-15 09:45:25+00
44,Bag,15,2022-02-15 09:45:25+00
45,Baha Blanca,6,2022-02-15 09:45:25+00
46,Baicheng,23,2022-02-15 09:45:25+00
47,Baiyin,23,2022-02-15 09:45:25+00
48,Baku,10,2022-02-15 09:45:25+00
49,Balaiha,80,2022-02-15 09:45:25+00
50,Balikesir,97,2022-02-15 09:45:25+00
51,Balurghat,44,2022-02-15 09:45:25+00
52,Bamenda,19,2022-02-15 09:45:25+00
53,Bandar Seri Begawan,16,2022-02-15 09:45:25+00
54,Banjul,37,2022-02-15 09:45:25+00
55,Barcelona,104,2022-02-15 09:45:25+00
56,Basel,91,2022-02-15 09:45:25+00
57,Bat Yam,48,2022-02-15 09:45:25+00
58,Batman,97,2022-02-15 09:45:25+00
59,Batna,2,2022-02-15 09:45:25+00
60,Battambang,18,2022-02-15 09:45:25+00
61,Baybay,75,2022-02-15 09:45:25+00
62,Bayugan,75,2022-02-15 09:45:25+00
63,Bchar,2,2022-02-15 09:45:25+00
64,Beira,63,2022-02-15 09:45:25+00
65,Bellevue,103,2022-02-15 09:45:25+00
66,Belm,15,2022-02-15 09:45:25+00
67,Benguela,4,2022-02-15 09:45:25+00
68,Beni-Mellal,62,2022-02-15 09:45:25+00
69,Benin City,69,2022-02-15 09:45:25+00
70,Bergamo,49,2022-02-15 09:45:25+00
71,Berhampore (Baharampur),44,2022-02-15 09:45:25+00
72,Bern,91,2022-02-15 09:45:25+00
73,Bhavnagar,44,2022-02-15 09:45:25+00
74,Bhilwara,44,2022-02-15 09:45:25+00
75,Bhimavaram,44,2022-02-15 09:45:25+00
76,Bhopal,44,2022-02-15 09:45:25+00
77,Bhusawal,44,2022-02-15 09:45:25+00
78,Bijapur,44,2022-02-15 09:45:25+00
79,Bilbays,29,2022-02-15 09:45:25+00
80,Binzhou,23,2022-02-15 09:45:25+00
81,Birgunj,66,2022-02-15 09:45:25+00
82,Bislig,75,2022-02-15 09:45:25+00
83,Blumenau,15,2022-02-15 09:45:25+00
84,Boa Vista,15,2022-02-15 09:45:25+00
85,Boksburg,85,2022-02-15 09:45:25+00
86,Botosani,78,2022-02-15 09:45:25+00
87,Botshabelo,85,2022-02-15 09:45:25+00
88,Bradford,102,2022-02-15 09:45:25+00
89,Braslia,15,2022-02-15 09:45:25+00
90,Bratislava,84,2022-02-15 09:45:25+00
91,Brescia,49,2022-02-15 09:45:25+00
92,Brest,34,2022-02-15 09:45:25+00
93,Brindisi,49,2022-02-15 09:45:25+00
94,Brockton,103,2022-02-15 09:45:25+00
95,Bucuresti,78,2022-02-15 09:45:25+00
96,Buenaventura,24,2022-02-15 09:45:25+00
97,Bydgoszcz,76,2022-02-15 09:45:25+00
98,Cabuyao,75,2022-02-15 09:45:25+00
99,Callao,74,2022-02-15 09:45:25+00
100,Cam Ranh,105,2022-02-15 09:45:25+00
